Date,Open,High,Low,Close,,,
21-06-2018,1965,1974.75,1946.75,1954.75,31727,28,10.25
20-06-2018,1935,1990,1928.3,1967.45,22176,61.7,-32.45
19-06-2018,1969,1969,1917,1930.25,22202,52,38.75
18-06-2018,1965,1988.5,1962.15,1967.65,11736,26.35,-2.65
15-06-2018,1967,1975,1947.15,1965.85,20658,27.85,1.15
14-06-2018,1945,1971.8,1935.05,1968.15,26276,36.75,-23.15
13-06-2018,1956.15,1968,1936,1947.1,24124,32,9.05
12-06-2018,1905.5,1959.5,1905.5,1956.15,31056,54,-50.65
11-06-2018,1890,1926.95,1890,1904.5,29448,36.95,-14.5
08-06-2018,1899,1899,1881.75,1890.05,14517,17.25,8.95
07-06-2018,1938,1942.45,1897.55,1904.7,24726,44.9,33.3
06-06-2018,1901.65,1927.95,1881.55,1915.9,22274,46.4,-14.25
05-06-2018,1899,1915.9,1894,1901.65,21136,21.9,-2.65
04-06-2018,1930,1962.85,1892.5,1897.1,41968,70.35,32.9
01-06-2018,1948,1948,1906.2,1914.95,43863,41.8,33.05
31-05-2018,1886,1986,1871,1948,46756,115,-62
30-05-2018,1870,1904,1859.4,1888.75,13677,44.6,-18.75
29-05-2018,1904,1915,1871,1877.55,20741,44,26.45
28-05-2018,1929,1929,1895.8,1917.45,22082,33.2,11.55
25-05-2018,1885,1919.9,1860.35,1914.75,20067,59.55,-29.75
24-05-2018,1856,1880,1837.2,1871.2,17210,42.8,-15.2
